	faith_pd
10317.000015342.2919	18.922810000000002
10317.000082954.48742	11.848399999999998
10317.000070777.30606	16.50854
10317.000059854.30606	12.593399999999999
10317.000015153.2926	5.30366
10317.000101250.56187	11.825700000000001
10317.000012851.32954	17.539809999999996
10317.000015601.3516	12.02074
10317.000047638.25370	16.59932
10317.000013420.2911	12.94579
10317.000090121.51570	20.23899
10317.000044399.26484	16.32563
10317.000029342.32981	20.00586
10317.000034137.3516	19.47373
10317.000013381.2911	9.54637
10317.000012742.26485	6.829329999999999
10317.000067074.45578	16.702659999999998
10317.000022155.25370	12.119190000000001
10317.000047798.25853	11.548430000000002
10317.000029296.3099	7.682979999999999
10317.000066478.25853	10.01149
10317.000003651.2907	10.986699999999999
10317.000006853.4583	20.160889999999995
10317.000005228.2907	5.490499999999999
10317.000058845.25853	19.853820000000002
10317.000046908.4033	11.504729999999999
10317.000015066.2988	19.54001
10317.000068382.50470	15.671729999999997
10317.000023384.3020	15.96877
10317.000013082.2917	15.55288
10317.000066501.30606	14.785409999999999
10317.000014327.2917	15.235199999999999
10317.000002598.2948	16.408779999999997
10317.000002296.2960	18.66937
10317.000071991.31503	14.6096
10317.000073269.33800	18.22518
10317.000033207.26531	8.296560000000001
10317.000030366.7852	18.925199999999997
10317.000097174.62401	3.4944399999999995
10317.000046128.26531	18.15689
10317.000042699.25501	19.55866
10317.000001884.2948	13.639819999999999
10317.000082957.48742	14.523100000000001
10317.000084348.42298	15.018989999999999
10317.000033145.7852	23.801229999999997
10317.000004880.2960	5.49996
10317.000001748.2907	9.69623
10317.000007571.26485	5.981659999999999
10317.000058469.25862	4.69263
10317.000038251.7852	21.430979999999998
10317.000048121.26481	20.54042
10317.000027849.3022	14.919459999999999
10317.000049998.4491	21.67359
10317.000001086.2948	5.607769999999999
10317.000079774.42298	8.535429999999998
10317.000048332.4491	13.564009999999998
10317.000069837.45578	12.48722
10317.000038067.25370	13.818910000000002
10317.000076643.48742	17.65624
10317.000036674.3099	9.18352
10317.000049954.7852	24.510150000000003
10317.000010258.2932	6.6691
10317.000075897.53379	9.99873
10317.000002688.2907	7.46249
10317.000009434.2907	7.9107899999999995
10317.000066855.26480	22.913929999999997
10317.000098699.56079	8.79557
10317.000065878.30606	7.495430000000001
10317.000073612.42299	4.077299999999999
10317.000047841.53347	17.273959999999995
10317.000101307.56079	9.160340000000001
10317.000006077.2911	8.860299999999999
10317.000003321.2960	6.71765
10317.000003921.2932	15.466040000000001
10317.000036430.3099	16.31357
10317.000087091.48742	16.48287
10317.000050029.7852	14.185569999999998
10317.000097106.56079	10.573229999999999
10317.000070709.41931	7.3087
10317.000066743.25862	15.738859999999999
10317.000014435.2917	10.6611
10317.000002451.2907	9.239769999999998
10317.000071545.50470	16.56262
10317.000013667.2917	18.579169999999998
10317.000001820.2923	16.83127
10317.000005921.2905	7.646129999999999
10317.000009080.2907	9.955050000000002
10317.000014270.2917	21.78198
10317.000068114.26479	15.704579999999998
10317.000086607.51570	18.31135
10317.000006072.2905	13.105699999999999
10317.000033360.25862	10.69296
10317.000013890.2923	11.42694
10317.000067214.45578	12.39238
10317.000018041.2921	17.43552
10317.000010848.2932	11.280490000000002
10317.000048260.25501	21.18546
10317.000023964.4021	12.43998
10317.000033018.25853	16.389490000000002
10317.000072266.50470	7.9407299999999985
10317.000015185.2919	14.299150000000001
10317.000089540.56079	17.280469999999998
10317.000022656.3018	12.14649
10317.000003030.2960	9.138219999999999
10317.000033691.2982	14.72746
10317.000030242.3099	13.82494
10317.000044319.4016	14.04257
10317.000001374.2946	12.25403
10317.000093058.54638	18.68748
10317.000042897.25501	10.65123
10317.000097018.62401	5.26628
10317.000101054.56187	17.07964
10317.000050241.7852	13.889149999999999
10317.000039942.3080	18.0888
10317.000011075.3516	14.908829999999998
10317.000033785.2982	16.882699999999996
10317.000092753.54638	15.502000000000002
10317.000075966.54638	12.396830000000001
10317.000039514.25370	11.60862
10317.000042610.26478	13.723159999999998
10317.000007087.2812	16.81193
10317.000003159.3018	14.24882
10317.000097325.56079	11.46729
10317.000028432.3022	9.961920000000001
10317.000065912.25853	17.5655
10317.000071387.26478	13.932429999999998
10317.000051987.4021	8.240160000000001
10317.000012309.2988	9.16022
10317.000046308.26478	19.98277
10317.000012474.26485	19.52979
10317.000013254.2919	17.704670000000004
10317.000037953.25370	5.409109999999999
10317.000041323.3516	18.236919999999998
10317.000023233.3018	10.99734
10317.000065589.26478	14.71181
10317.000050384.46739	20.44716
10317.000059167.25370	10.239309999999998
10317.000002655.2946	8.765999999999998
10317.000011368.2921	10.679809999999998
10317.000018043.3098	18.58041
10317.000040130.4016	19.85313
10317.000007343.26483	8.193109999999999
10317.000047221.7852	16.96015
10317.000041309.3516	17.01364
10317.000036673.25501	12.8471
10317.000059162.25501	7.765550000000001
10317.000074333.42298	18.53469
10317.000067792.26479	20.17863
10317.000060329.25370	15.50916
10317.000033654.2982	17.668580000000002
10317.000048405.26484	30.433949999999996
10317.000052290.26480	6.536209999999999
10317.000094715.56079	18.068169999999995
10317.000084428.52698	9.516869999999999
10317.000047574.25853	11.44472
10317.000028282.2982	22.62351
10317.000039744.31503	8.66719
10317.000029393.3099	14.83721
10317.000018079.3020	8.40713
10317.000052035.26478	6.614639999999999
10317.000083065.48742	16.701780000000003
10317.000068351.48742	9.046439999999999
10317.000022308.3020	9.62172
10317.000002260.2907	12.641479999999998
10317.000094662.56079	17.65979
10317.000067714.26479	12.71153
10317.000041837.26531	13.106499999999999
10317.000065816.25498	18.58007
10317.000012073.2919	11.230799999999999
10317.000068092.30606	8.77116
10317.000058864.31503	14.60419
10317.000041296.26531	6.298160000000001
10317.000097202.54638	7.892119999999999
10317.000063152.26480	21.61866
10317.000028920.26479	7.26062
10317.000027654.3516	10.26497
10317.000065714.31503	15.81053
10317.000102616.56079	9.835350000000002
10317.000071922.31503	11.048570000000002
10317.000026424.3018	12.454939999999999
10317.000043173.4016	8.781290000000002
10317.000049123.4583	17.003590000000003
10317.000101212.56187	15.958549999999999
10317.000071434.45578	4.44253
10317.000014606.2917	14.60915
10317.000069759.26478	13.832199999999998
10317.000023385.3020	15.72555
10317.000010899.2913	6.394419999999999
10317.000004793.2905	13.24534
10317.000033413.3098	15.731630000000003
10317.000010867.2909	14.47275
10317.000033796.2982	11.503800000000002
10317.000028712.3022	14.526320000000002
10317.000076325.48742	8.76258
10317.000038039.26484	9.628210000000001
10317.000001538.2948	12.35812
10317.000068265.25862	15.3106
10317.000016263.2921	24.448650000000004
10317.000023286.3018	19.400539999999996
10317.000023121.3020	4.65024
10317.000021157.3018	13.249009999999998
10317.000010881.2911	8.85117
10317.000065374.25853	14.61311
10317.000058409.42299	13.65874
10317.000059944.30606	13.012899999999998
10317.000013183.3020	9.349
10317.000049752.4491	7.43708
10317.000084492.42298	16.058400000000002
10317.000099183.56187	13.994180000000002
10317.000069400.30606	12.003639999999999
10317.000071542.50470	12.62111
10317.000022173.3020	19.06255
10317.000012903.2911	17.86717
10317.000041341.4016	19.71104
10317.000049982.30606	21.244799999999998
10317.000079013.56079	15.46586
10317.000066538.25498	10.64657
10317.000100449.56079	10.10303
10317.000054192.26478	12.358809999999998
10317.000018439.2988	15.59114
10317.000051562.56079	16.89553
10317.000070821.51570	8.982759999999999
10317.000094648.53379	18.372379999999996
10317.000074542.42299	12.073990000000002
10317.000069599.26479	15.7911
10317.000047187.25501	6.71024
